Segment,Make,Model,Vendor,Vendor Name,VENDOR NOTES,Part_ Type,MPN,SKU,Year,unique,match
,Polaris,600 RR,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 RR,#N/A
Snow,Polaris,600 RMK 144,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 RMK 144,600 RMK 144
Snow,Polaris,600 RMK 155,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 RMK 155,600 RMK 155
Snow,Polaris,600 HO CFI Touring,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 HO CFI Touring,600 HO CFI Touring
Snow,Polaris,600 HO CFI SwitchBack,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 HO CFI SwitchBack,600 HO CFI SwitchBack
Snow,Polaris,600 HO IQ,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 HO IQ,600 HO IQ
Snow,Polaris,600 HO IQ CFI,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 HO IQ CFI,600 HO IQ CFI
Snow,Polaris,600 HO IQ LX CFI,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 HO IQ LX CFI,600 HO IQ LX CFI
,Polaris,600 Rush,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 Rush,#N/A
,Polaris,600 LX,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 LX,#N/A
